AA	AAL	American Airlines Inc.	Американские авиалинии
KD	WGN	Western Global Airlines LLC	Вестерн Глобал Аирлинес Ллк
KE	KAL	Korean Air	Korean Air
KF	ABB	Air Belgium	Аир Белгиум
KG	LYM	Key Lime Air	Кей Лиме Аир
KH	AAH	Aloha Air Cargo	Алоха Аир Карго
KJ	AII	Air Incheon	Аир Инчеон
KJ	LAJ	British Mediterranean Airways (Ceased)	Бритиш Медитерранеан Аирвайс
KK	KKK	Atlasjet Airlines, Inc.	Атласджет Аирлинес Инк
KL	KLM	KLM Royal Dutch Airlines	Клм Роял Дутч Аирлинес
KM	AMC	Air Malta	Аир Малта
KN	CUA	China United Airlines	Чина Унитед Аирлинес
KO	AER	Alaska Central Express	Аласка Кентрал Експресс
KP	SKK	ASKY Airlines	Аскй Аирлинес
KP*	AKC	Asialink Cargo Express	Асиалинк Карго Експресс
KQ	KQA	Kenya Airways	Kenya Airways
KR	KME	Cambodia Airways	Камбодиа Аирвайс
KR	EAA	Air Bishkek (Ceased)	Аир Бишкек
KS	PEN	Peninsula Airways	Пенинсула Аирвайс
KU	KAC	Kuwait Airways	Kuwait Airways
KX	CAY	Cayman Airways	Кайман Аирвайс
KY	KNA	Kunming Airlines	Кунминг Аирлинес
KZ	NCA	Nippon Cargo Airlines	Ниппон Карго Аирлинес
K3	 	SAC (K) Limited	Сак Лимитед
K4	CKS	Kalitta Air	Калитта Аир
K6	KHV	Cambodia Angkor Air	Камбодиа Ангкор Аир
K7	KBZ	Air KBZ	Аир Кбз
K9	TSP	TonleSap Airlines (Ceased)	Тонлесап Аирлинес
LA	LAN	Lan Airlines Chile	Лан Аирлинес Чиле
LC	PTI	Equatorial Congo Airlines (Ceased)	Екуаториал Конго Аирлинес
LD	AHK	Air Hong Kong	Аир Хонг Конг
LE	 	Lion Air Cargo Tanzania (Ceased)	Лион Аир Карго Танзаниа
LG	LGL	Luxair	Луксаир
LH	GEC	Lufthansa Cargo	Луфтанса Карго
LH	DLH	Deutsche Lufthansa AG	Деутсче Луфтанса Аг
LI	LIA	LIAT Airlines	Лиат Аирлинес
LJ	 	Jin Air	Джин Аир
LK	KGZ	Kyrgyz Airlines	Кйргйз Аирлинес
LM	LOG	Loganair Limited	Логанаир Лимитед
LN	LAA	Libyan Airlines	Либян Аирлинес
